protocol,network,contract_address,source,status,contract_name,abi_path
mosquitos_finance,aptos,,not-found,skip,Unknown,
echo_strategy,aptos,,not-found,skip,Unknown,
goblin,aptos,,not-found,skip,Unknown,
moneyfi,aptos,,not-found,skip,Unknown,
arbius,arbitrum,,not-found,skip,Unknown,
arbiten,arbitrum,,not-found,skip,Unknown,
beanstalk,arbitrum,,not-found,skip,Unknown,
finext_finance,arbitrum,,not-found,skip,Unknown,
gmcash,arbitrum,,not-found,skip,Unknown,
lumi_finance,arbitrum,,not-found,skip,Unknown,
ordernchaos,arbitrum,,not-found,skip,Unknown,
ripae,arbitrum,,not-found,skip,Unknown,
wonderly_finance,arbitrum,,not-found,skip,Unknown,
bedrock_unibtc,arbitrum,,not-found,skip,Unknown,
basisos,arbitrum,,not-found,skip,Unknown,
desyn_basis_trading,arbitrum,,not-found,skip,Unknown,
solv_basis_trading,arbitrum,,not-found,skip,Unknown,
stables_labs_usdx,arbitrum,,not-found,skip,Unknown,
theo_straddle_vaults,arbitrum,,not-found,skip,Unknown,
umoja_ybtc,arbitrum,,not-found,skip,Unknown,
zerobase_cedefi,arbitrum,,not-found,skip,Unknown,
allbridge_core,arbitrum,,not-found,skip,Unknown,
apx_bridge,arbitrum,,not-found,skip,Unknown,
aster_bridge,arbitrum,,not-found,skip,Unknown,
axelar,arbitrum,,not-found,skip,Unknown,
axelar_cross_chain,arbitrum,,not-found,skip,Unknown,
beamer_bridge,arbitrum,,not-found,skip,Unknown,
cbridge,arbitrum,,not-found,skip,Unknown,
connext,arbitrum,,not-found,skip,Unknown,
debridge,arbitrum,,not-found,skip,Unknown,
dexalot_portfolio,arbitrum,,not-found,skip,Unknown,
edgex_bridge,arbitrum,,not-found,skip,Unknown,
free_protocol,arbitrum,,not-found,skip,Unknown,
hashport,arbitrum,,not-found,skip,Unknown,
hyperliquid_bridge,arbitrum,,not-found,skip,Unknown,
hyphen,arbitrum,,not-found,skip,Unknown,
merlins_seal,arbitrum,,not-found,skip,Unknown,
multichain,arbitrum,,not-found,skip,Unknown,
nervebridge,arbitrum,,not-found,skip,Unknown,
neuron,arbitrum,,not-found,skip,Unknown,
orderly_bridge,arbitrum,,not-found,skip,Unknown,
pnetwork,arbitrum,,not-found,skip,Unknown,
poly_network,arbitrum,,not-found,skip,Unknown,
polynomial_bridge,arbitrum,,not-found,skip,Unknown,
portal,arbitrum,,not-found,skip,Unknown,
pumpbtc,arbitrum,,not-found,skip,Unknown,
relaychain,arbitrum,,not-found,skip,Unknown,
renvm,arbitrum,,not-found,skip,Unknown,
rhino_fi,arbitrum,,not-found,skip,Unknown,
shimmerbridge,arbitrum,,not-found,skip,Unknown,
solvbtc,arbitrum,,not-found,skip,Unknown,
